"","emp_nonemp","bin_BL_gender","bin_BL_marital2","bin_BL_education","age_group","BL_F6","Labour_market_A4","FU_B1_imputed","BL_Difference_G","BL_B6_13","FU_A10_imputed","FU_A14_imputed","BL_A4_groupped","bin_FU_A1"
"410",1,1,1,0,3,0,5,4,1,2,1,3,NA,0
"411",1,1,1,0,2,0,5,3,1,1,1,3,NA,0
"412",1,0,0,1,2,0,5,7,2,1,1,1,5,0
"413",1,1,0,1,4,0,5,5,1,1,1,2,NA,0
"414",1,1,0,1,3,0,5,6,1,1,1,3,NA,0
"415",2,1,1,1,3,0,5,10,1,1,2,1,NA,0
"416",2,0,0,0,4,0,2,8,1,1,1,2,NA,0
"417",2,1,1,1,2,0,5,9,1,1,2,2,NA,0
"418",1,1,0,1,3,0,5,8,2,1,1,3,NA,0
"419",1,1,0,0,3,0,2,8,1,2,1,3,NA,0
"420",1,1,0,1,2,0,5,6,1,1,1,4,NA,0
"421",1,0,1,1,1,0,5,5,1,1,1,2,5,0
"422",1,0,0,1,1,0,2,6,2,1,1,2,5,0
"423",1,1,1,0,2,0,5,6,1,1,2,3,5,0
"424",1,0,1,0,3,0,5,6,1,1,1,2,1,0
"425",1,0,0,1,4,0,5,5,1,1,1,3,NA,0
